,east,west,dmi
1960-01-01,0.5847006969996466,-0.28117124569329816,-0.8658719426929447
1960-02-01,0.024546538181052013,-0.0574501985908957,-0.08199673677194771
1960-03-01,0.6711821472324843,0.26903335414016905,-0.4021487930923152
1960-04-01,1.026246667495876,-0.23717143998302928,-1.2634181074789053
1960-05-01,1.295834645117124,-0.5102801682180949,-1.806114813335219
1960-06-01,0.7481054595248678,-0.6025365414551327,-1.3506420009800006
1960-07-01,0.24567590802707334,-0.6880935380797442,-0.9337694461068176
1960-08-01,0.4376338651226742,-0.899648373457471,-1.337282238580145
1960-09-01,0.6236496545348121,-0.8216875557764057,-1.4453372103112179
1960-10-01,1.0383358633969746,-0.9573659808955046,-1.9957018442924792
1960-11-01,0.6550066503805583,-1.3724724772328731,-2.0274791276134314
1960-12-01,1.147696235061414,-0.2682212146083526,-1.4159174496697666
1961-01-01,0.22998892475663227,-0.10383933735515566,-0.33382826211178795
1961-02-01,-0.5513055136405732,-0.1620621584185226,0.38924335522205067
1961-03-01,-0.8434160280955146,-0.06361804168137043,0.7797979864141442
1961-04-01,-0.1781150787768477,-0.3411093536777463,-0.1629942749008986
1961-05-01,-0.4392128600588504,-0.6249065277346706,-0.18569366767582018
1961-06-01,-0.6231024638086461,0.08959328627776332,0.7126957500864094
1961-07-01,-1.3584911718564456,0.5170431721804588,1.8755343440369043
1961-08-01,-1.4995346191517902,0.5260362314908739,2.025570850642664
1961-09-01,-2.122620964313655,0.46726197649591694,2.589882940809572
1961-10-01,-1.7773206547174012,0.6807587066851222,2.4580793614025236
1961-11-01,-1.49119231029875,0.1972076401659814,1.6883999504647316
1961-12-01,-0.5353845772157223,0.48251210976583,1.0178966869815522
1962-01-01,-1.161001980338231,0.2461639317735807,1.4071659121118116
1962-02-01,-1.424775070489554,0.0810951694135132,1.5058702399030672
1962-03-01,-0.5906011582335673,0.251719997754853,0.8423211559884203
1962-04-01,-0.49093347787818153,-0.15072020882209072,0.34021326905609084
1962-05-01,-0.26989381027789117,-0.6167024233741085,-0.34680861309621736
1962-06-01,-0.06346954776930361,-0.3710113240310285,-0.30754177626172485
1962-07-01,0.4031397150613415,-0.0431084227286654,-0.4462481377900069
1962-08-01,0.2883523575301405,0.4412604864317401,0.1529081289015996
1962-09-01,0.01594118355336746,0.3452403679782723,0.3292991844249048
1962-10-01,-0.2663954226943589,0.018903179550353807,0.2852986022447127
1962-11-01,-0.4404032331035585,-0.010783737989094589,0.4296194951144639
1962-12-01,-0.2250026850592605,0.3347419389710246,0.5597446240302851
1963-01-01,-0.29193268230013825,0.289726570420505,0.5816592527206432
1963-02-01,-1.5691471984170469,-0.015062326061328542,1.5540848723557183
1963-03-01,-1.126232662577155,-0.3114744339828362,0.8147582285943189
1963-04-01,-0.37569033596326323,-0.1945332074612387,0.18115712850202453
1963-05-01,0.14696707194700845,-0.542480314910251,-0.6894473868572594
1963-06-01,0.040718398455448813,-0.2324659560266197,-0.2731843544820685
1963-07-01,-0.5331699015001602,0.07398301978826642,0.6071529212884266
1963-08-01,-1.4406584289465982,0.4223486777883805,1.8630071067349787
1963-09-01,-1.7865284690224992,0.08349862533886125,1.8700270943613604
1963-10-01,-1.3772607606795302,0.8608253164767851,2.238086077156315
1963-11-01,-0.7523852193730706,0.9335741526787116,1.6859593720517823
1963-12-01,-0.19921935037397284,0.6367146065146906,0.8359339568886635
1964-01-01,1.0543283191799098,0.9409129101943555,-0.11341540898555424
1964-02-01,1.260619240512409,0.6363165983219246,-0.6243026421904845
1964-03-01,0.1801714491778217,0.6210780201285755,0.4409065709507538
1964-04-01,0.2726023402491845,0.4917035312239303,0.21910119097474579
1964-05-01,-0.11723028558277392,-0.7788779229522472,-0.6616476373694733
1964-06-01,0.07886609674157977,-0.28115134528365954,-0.36001744202523933
1964-07-01,-0.27919132682872166,-0.9760845629807635,-0.6968932361520419
1964-08-01,0.043065203154588956,-0.7624125807970012,-0.8054777839515902
1964-09-01,0.40458222414810746,-1.1618882682865368,-1.5664704924346442
1964-10-01,-0.09296704030488424,-0.9149010745221763,-0.821934034217292
1964-11-01,-1.7135326604621486,-1.0222573650337936,0.691275295428355
1964-12-01,-1.2694641173528445,-0.6609397501026408,0.6085243672502036
1965-01-01,-1.1058714649885892,-0.8091034354493256,0.2967680295392636
1965-02-01,-0.30980039989586755,-0.5873467513628321,-0.27754635146696455
1965-03-01,-1.407049179417483,-0.8583569493041043,0.5486922301133788
1965-04-01,-1.000490721334109,-0.5208678280943648,0.47962289323974416
1965-05-01,-1.3370838521318484,-1.3498912898316924,-0.012807437699843938
1965-06-01,-0.6883790304660392,-1.0771805697893921,-0.38880153932335293
